frame,rods,integrate_ms,sleep_ms,broadphase_ms,warmstart_ms,buildIslands_ms,solve_ms,floorSolve_ms,posCorrect_ms,pbcWrap_ms,render_ms,contacts,islands
231,100,1.26792,0.147458,55.6863,0.000918,0.058249,0.000875,0,0.001456,0.377456,0.156083,0,0
232,100,1.28008,0.147459,55.64,0.001126,0.055625,0.001332,0,0.001502,0.37729,0.148666,0,0
233,100,1.27983,0.147582,55.6997,0.000999,0.055791,0.000998,0,0.00129,0.377047,0.146167,0,0
234,100,1.28346,0.147128,55.2979,0.000997,0.054707,0.000916,0,0.00117,0.377293,0.139625,0,0
235,100,1.29121,0.150248,55.8024,0.00104,0.055832,0.001085,0,0.001334,0.384668,0.1445,0,0
236,100,1.28475,0.149456,55.3175,0.002537,0.070338,0.012124,0,0.001497,0.381877,0.139458,0,0
237,100,1.29354,0.151125,55.8954,0.001166,0.055878,0.001211,0,0.001502,0.384626,0.137583,0,0
238,100,1.29312,0.150253,57.5387,0.001125,0.05658,0.001043,0,0.001205,0.384251,0.147417,0,0
239,100,1.29567,0.150751,55.6076,0.001164,0.071463,0.001125,0,0.001417,0.384127,0.145583,0,0
240,100,1.31279,0.147792,54.6878,0.001083,0.053962,0.000877,0,0.001295,0.377791,0.145334,0,0
241,100,1.27554,0.14733,54.301,0.001126,0.055083,0.001081,0,0.001208,0.376376,0.138583,0,0
242,100,1.27392,0.147752,54.3463,0.001042,0.053835,0.000623,0,0.001502,0.378044,0.138375,0,0
243,100,1.26746,0.148624,55.0339,0.001129,0.056874,0.000833,0,0.001126,0.377174,0.151917,0,0
244,100,1.27029,0.148498,55.3096,0.001332,0.062957,0.001167,0,0.001498,0.377545,0.193875,0,0
245,100,1.30867,0.149664,60.8539,0.001671,0.069955,0.000996,0,0.001624,0.380915,0.200208,0,0
